# Domain X_MIN, Y_MIN, X_MAX, Y_MAX
-54900, 673000, -51000, 673500
#OBJECTID,START_X,START_Y,END_X,END_Y
-5.361122869999999966e+04,6.732113743700000457e+06,-5.466355320000000211e+04,6.730962761900000274e+06
-5.473592710000000079e+04,6.731858857099999674e+06,-5.408968099999999686e+04,6.732419377999999560e+06
-5.478521119999999792e+04,6.731465500500000082e+06,-5.393387290000000212e+04,6.732171312800000422e+06
-5.349860070000000269e+04,6.731520851200000383e+06,-5.313435790000000270e+04,6.731474627299999818e+06
-5.359136559999999736e+04,6.731426814699999988e+06,-5.220678070000000298e+04,6.732665115299999714e+06
-5.347029389999999694e+04,6.731966199799999595e+06,-5.291451929999999993e+04,6.732081028099999763e+06
-5.345177300000000105e+04,6.732106429200000130e+06,-5.256277120000000286e+04,6.732341908900000155e+06
-5.344224799999999959e+04,6.732246923299999908e+06,-5.313427229999999690e+04,6.732310423399999738e+06
-5.382284599999999773e+04,6.731595929600000381e+06,-5.411086280000000261e+04,6.731339023900000378e+06
-5.446843069999999716e+04,6.732383066499999724e+06,-5.456603549999999814e+04,6.732006212399999611e+06
-5.455177459999999701e+04,6.732236222500000149e+06,-5.458567229999999836e+04,6.731989180499999784e+06
-5.419272430000000168e+04,6.731956708899999969e+06,-5.406304989999999816e+04,6.731619563500000164e+06
-5.450577019999999902e+04,6.732238897900000215e+06,-5.434073240000000078e+04,6.732201628800000064e+06
-5.444011809999999969e+04,6.732115426699999720e+06,-5.408737000000000262e+04,6.732044054200000130e+06
-5.470635880000000179e+04,6.731884503100000322e+06,-5.410173150000000169e+04,6.732046959999999963e+06
-5.406361740000000282e+04,6.731966347000000067e+06,-5.404436099999999715e+04,6.731628290699999779e+06
-5.342056210000000283e+04,6.732251394600000232e+06,-5.343683140000000276e+04,6.731581326700000092e+06
-5.317161770000000251e+04,6.731840516099999659e+06,-5.360641640000000189e+04,6.731307202399999835e+06
-5.286028990000000340e+04,6.732337756599999964e+06,-5.272207069999999658e+04,6.731800200199999847e+06
-5.296689989999999671e+04,6.732033355200000107e+06,-5.286918490000000020e+04,6.731683774000000209e+06
-5.300133449999999721e+04,6.732001586299999617e+06,-5.290023249999999825e+04,6.731659128100000322e+06
-5.336575710000000254e+04,6.732262694600000046e+06,-5.337845999999999913e+04,6.732125848399999551e+06
